aX,aY,aZ,gX,gY,gZ
-0.12,0.967,-0.004,0.977,0.793,-0.488
-0.119,0.972,-0.007,0.488,1.648,0
-0.122,0.975,-0.003,0.488,2.625,0.427
-0.124,0.978,-0.004,1.099,3.906,0.671
0.89,-2.262,0.411,-149.902,-197.815,-198.547
0.813,-2.734,0.48,-93.933,-195.374,-272.644
0.637,-3.014,0.506,-39.124,-180.542,-348.572
0.495,-3.118,0.429,7.996,-151.123,-384.827
0.452,-2.891,0.237,37.415,-110.107,-336.609
0.431,-2.521,0.091,51.575,-62.622,-195.74
0.476,-1.983,-0.019,64.392,-12.939,-3.601
0.476,-1.373,-0.108,70.068,36.072,168.152
0.41,-0.817,-0.233,65.247,81.177,272.888
0.315,-0.434,-0.373,60.852,115.417,312.561
0.258,-0.159,-0.54,65.857,135.193,307.007
0.227,0.063,-0.722,83.069,140.198,275.818
0.21,0.215,-0.881,102.844,131.958,231.995
0.205,0.287,-0.996,115.356,115.662,181.58
0.205,0.293,-1.047,114.99,96.13,130.798
0.197,0.236,-1.025,107.483,77.637,84.045
0.186,0.161,-0.974,99.487,59.204,47.302
0.176,0.084,-0.917,94.055,49.133,18.555
0.176,0.018,-0.846,92.102,41.504,0
0.175,-0.019,-0.754,91.736,36.743,-6.897
0.162,-0.035,-0.684,92.773,36.133,-2.93
0.166,-0.041,-0.663,94.849,39.429,10.437
0.179,-0.026,-0.659,98.022,43.091,28.198
0.182,0,-0.649,103.271,44.373,43.945
0.181,0.033,-0.631,109.436,43.396,54.993
0.184,0.061,-0.631,114.624,41.382,62.256
0.193,0.089,-0.619,118.591,38.635,66.284
0.184,0.115,-0.59,122.009,35.034,67.505
0.184,0.147,-0.558,125.732,31.006,67.566
0.164,0.219,-0.489,130.066,27.161,67.932
0.131,0.296,-0.435,137.878,25.696,72.815
0.135,0.363,-0.428,144.897,28.564,84.961
0.152,0.43,-0.429,149.048,34.058,99.426
0.152,0.505,-0.403,153.015,40.771,109.741
0.134,0.577,-0.393,157.654,48.34,115.662
0.129,0.641,-0.417,160.461,55.969,117.371
0.129,0.7,-0.442,160.156,60.791,113.708
0.112,0.753,-0.447,158.813,61.829,103.333
0.098,0.787,-0.448,157.227,59.509,88.318
0.078,0.832,-0.415,155.396,54.626,70.679
0.037,0.874,-0.369,156.433,48.462,53.772
0.021,0.904,-0.355,158.447,43.335,41.26
0.013,0.952,-0.329,157.593,39.185,33.203
-0.023,1.001,-0.286,156.616,36.438,29.846
-0.036,1.033,-0.282,154.297,37.17,33.752
-0.029,1.062,-0.298,146.301,39.734,44.006
-0.037,1.091,-0.324,136.78,42.664,56.641
-0.039,1.107,-0.357,127.38,45.532,67.932
-0.033,1.106,-0.382,116.821,47.058,74.768
-0.034,1.109,-0.379,106.628,46.692,75.317
-0.068,1.112,-0.343,100.708,44.922,70.679
-0.078,1.102,-0.327,98.206,43.945,63.721
-0.074,1.092,-0.322,94.971,43.396,55.298
-0.097,1.115,-0.284,94.727,41.992,45.41
-0.144,1.148,-0.248,99.06,43.152,37.781
-0.161,1.174,-0.257,102.234,47.18,36.682
-0.158,1.197,-0.295,100.525,50.781,39.673
-0.163,1.227,-0.327,98.45,52.612,42.48
-0.145,1.247,-0.352,98.389,54.016,42.358
-0.154,1.259,-0.372,96.069,55.176,36.194
-0.148,1.25,-0.364,91.553,50.842,27.344
-0.159,1.23,-0.364,85.938,45.959,15.198
-0.153,1.187,-0.353,81.177,42.297,2.563
-0.152,1.138,-0.332,78.43,38.574,-8.423
-0.155,1.114,-0.288,77.942,35.4,-17.517
-0.206,1.143,-0.196,79.163,33.02,-22.156
-0.267,1.184,-0.14,83.13,34.851,-16.357
-0.285,1.23,-0.155,83.252,40.527,1.038
-0.29,1.277,-0.208,77.576,46.265,24.475
-0.296,1.33,-0.262,71.838,49.866,45.471
-0.288,1.366,-0.311,66.284,50.964,58.167
-0.275,1.38,-0.354,59.57,49.316,60.181
-0.265,1.369,-0.383,53.955,43.518,52.063
-0.246,1.34,-0.387,49.866,35.522,36.255
-0.227,1.286,-0.368,46.814,25.635,16.235
-0.207,1.226,-0.342,44.922,15.625,-3.784
-0.187,1.167,-0.307,44.128,6.958,-20.752
-0.177,1.124,-0.259,45.105,0.793,-34.119
-0.179,1.105,-0.204,46.753,-1.953,-42.236
-0.185,1.1,-0.167,47.546,-1.404,-42.419
-0.187,1.098,-0.151,46.448,1.831,-34.79
-0.183,1.101,-0.156,42.786,5.859,-20.996
-0.183,1.12,-0.158,37.598,9.46,-6.226
-0.193,1.147,-0.159,32.959,12.085,6.409
-0.195,1.169,-0.17,28.992,13.977,16.296
-0.189,1.185,-0.188,24.841,14.465,21.606
-0.187,1.184,-0.198,21.057,12.573,21.667
-0.183,1.175,-0.197,18.188,9.155,17.273
-0.18,1.155,-0.187,16.052,4.822,10.315
-0.173,1.129,-0.174,14.038,0.244,2.136
-0.165,1.096,-0.16,12.573,-3.235,-5.249
-0.157,1.066,-0.146,12.268,-6.409,-10.864
-0.149,1.041,-0.126,12.39,-8.24,-14.099
-0.143,1.027,-0.106,12.573,-8.545,-14.526
-0.142,1.023,-0.092,11.597,-7.385,-11.536
-0.14,1.023,-0.088,9.827,-4.822,-5.615
-0.14,1.026,-0.092,7.446,-2.258,0.549
-0.138,1.03,-0.099,4.944,-0.183,6.714
-0.139,1.028,-0.109,2.869,1.038,10.925
-0.139,1.024,-0.113,1.526,0.977,12.756
-0.137,1.015,-0.113,0.793,-0.427,11.597
-0.135,1,-0.108,0.61,-1.831,8.606
-0.133,0.985,-0.102,0.427,-2.808,5.005
-0.128,0.969,-0.098,0.488,-4.211,1.648
-0.125,0.951,-0.088,1.221,-5.432,-0.732
-0.12,0.938,-0.078,2.014,-5.737,-1.648
-0.116,0.93,-0.07,2.991,-5.493,-1.831
-0.113,0.927,-0.066,4.089,-4.883,-1.526
-0.108,0.926,-0.068,4.578,-3.662,-0.366
-0.103,0.928,-0.071,4.944,-2.625,1.282
-0.104,0.934,-0.069,5.676,-2.014,2.319
-0.106,0.94,-0.07,6.531,-1.038,3.296
-0.111,0.947,-0.073,6.409,0.122,4.15
-0.114,0.954,-0.079,5.859,0.732,5.066
-0.116,0.962,-0.081,5.31,1.404,6.104
-0.121,0.969,-0.079,4.944,1.892,6.714
-0.125,0.97,-0.079,4.639,2.014,6.775
-0.13,1.058,-0.115,4.761,2.014,6.592
-0.131,1.142,-0.146,4.089,1.16,3.296
0.425,-1.77,0.728,-153.503,-60.791,-181.152
0.415,-1.991,0.796,-124.39,-65.186,-195.129
0.43,-2.198,0.756,-97.717,-53.65,-182.556
0.479,-2.319,0.559,-68.42,-27.283,-144.165
0.492,-2.275,0.37,-36.255,4.272,-88.013
0.463,-2.045,0.21,8.118,37.537,-24.658
0.395,-1.725,0.113,55.969,66.467,30.029
0.312,-1.376,-0.019,97.473,91.187,69.641
0.227,-1.048,-0.14,128.723,109.497,90.881
0.151,-0.807,-0.248,151.306,119.324,97.534
0.109,-0.63,-0.338,163.025,120.483,95.581
0.081,-0.523,-0.414,165.344,111.694,90.149
0.084,-0.459,-0.483,164.734,101.318,81.299
0.089,-0.429,-0.505,164.978,90.027,65.796
0.101,-0.443,-0.493,161.743,78.43,44.861
0.116,-0.477,-0.491,155.334,68.298,26.428
0.118,-0.503,-0.511,152.405,61.035,15.259
0.109,-0.511,-0.53,156.799,58.35,14.099
0.11,-0.495,-0.526,165.405,59.265,23.071
0.102,-0.466,-0.508,174.072,61.523,37.537
0.099,-0.421,-0.491,182.861,64.087,52.429
0.096,-0.345,-0.49,192.871,66.711,64.026
0.088,-0.244,-0.49,204.285,67.322,69.885
0.088,-0.155,-0.487,213.867,65.796,69.824
0.09,-0.08,-0.486,219.421,62.866,66.04
0.087,-0.021,-0.485,222.717,59.509,59.692
0.09,0.018,-0.484,224.243,55.847,52.429
0.093,0.061,-0.48,227.844,52.917,47.791
0.078,0.116,-0.478,235.046,53.223,47.668
0.071,0.194,-0.475,244.873,56.458,53.467
0.057,0.313,-0.488,254.944,60.486,62.378
0.034,0.48,-0.522,262.39,64.88,69.458
0.009,0.657,-0.56,262.695,68.176,72.266
0,0.792,-0.595,254.272,69.336,69.58
0.001,0.878,-0.624,238.892,66.833,60.242
-0.009,0.914,-0.651,221.985,61.218,45.532
-0.007,0.91,-0.66,207.397,54.077,29.236
-0.004,0.882,-0.648,196.167,45.471,13.794
0.015,0.854,-0.621,191.284,37.415,1.465
0.022,0.863,-0.561,190.674,32.898,-4.272
0.007,0.888,-0.529,194.946,36.804,-0.427
-0.009,0.918,-0.531,200.5,47.18,15.198
-0.033,1,-0.553,203.247,57.922,36.865
-0.072,1.112,-0.594,202.82,66.04,55.664
-0.091,1.209,-0.649,191.65,70.923,67.505
-0.083,1.241,-0.699,168.884,70.374,71.35
-0.078,1.201,-0.718,144.409,63.477,62.683
-0.078,1.11,-0.701,125,51.88,41.748
-0.076,1.001,-0.66,113.098,36.682,13.733
-0.061,0.899,-0.589,110.046,20.325,-14.771
-0.047,0.842,-0.479,115.234,6.531,-38.513
-0.054,0.842,-0.378,125.671,-0.854,-50.598
-0.064,0.879,-0.343,137.756,1.221,-47.485
-0.066,0.938,-0.351,145.386,10.376,-30.273
-0.075,1.009,-0.367,149.048,20.874,-5.615
-0.081,1.107,-0.412,151.428,28.87,18.127
-0.081,1.192,-0.458,147.766,32.471,34.363
-0.063,1.24,-0.49,138.184,30.579,39.49
-0.049,1.239,-0.5,127.136,24.353,31.921
-0.032,1.201,-0.485,117.554,14.587,14.038
-0.037,1.156,-0.446,110.901,5.31,-8.911
-0.053,1.144,-0.365,107.483,-4.15,-27.649
-0.078,1.157,-0.317,109.009,-9.46,-33.203
-0.063,1.184,-0.305,109.68,-6.775,-23.621
-0.049,1.227,-0.297,107.91,0.732,-4.272
-0.052,1.284,-0.309,106.445,11.902,17.944
-0.068,1.348,-0.354,103.577,23.987,39.124
-0.073,1.396,-0.415,96.985,33.264,54.688
-0.08,1.434,-0.473,88.989,36.987,59.875
-0.09,1.458,-0.515,80.383,35.583,53.833
-0.09,1.455,-0.534,70.984,29.663,38.391
-0.088,1.414,-0.528,60.425,20.874,17.456
-0.091,1.345,-0.5,50.415,11.292,-5.005
-0.092,1.269,-0.464,41.87,1.282,-25.574
-0.095,1.205,-0.423,37.048,-6.226,-41.016
-0.098,1.161,-0.374,35.095,-11.353,-47.546
-0.09,1.142,-0.339,34.851,-12.695,-45.166
-0.085,1.147,-0.308,33.936,-10.559,-34.546
-0.08,1.17,-0.299,32.104,-5.676,-18.616
-0.076,1.198,-0.317,28.381,0.61,-1.099
-0.076,1.216,-0.34,22.156,6.47,14.465
-0.078,1.22,-0.357,15.076,9.583,24.231
-0.081,1.217,-0.369,8.301,9.705,26.306
-0.083,1.198,-0.367,2.441,6.042,21.729
-0.081,1.167,-0.356,-1.648,0.732,12.39
-0.078,1.125,-0.338,-4.272,-4.395,1.77
-0.069,1.08,-0.306,-5.31,-9.338,-7.141
-0.061,1.037,-0.278,-5.554,-11.963,-14.038
-0.058,0.999,-0.259,-5.493,-12.085,-17.7
-0.057,0.973,-0.245,-5.005,-11.108,-18.25
-0.057,0.958,-0.237,-4.211,-9.766,-15.991
-0.058,0.947,-0.234,-4.028,-8.24,-11.658
-0.053,0.937,-0.234,-4.639,-7.202,-6.836
-0.045,0.93,-0.23,-5.005,-6.592,-2.93
-0.043,0.928,-0.225,-5.127,-6.226,-0.244
-0.037,0.928,-0.224,-5.249,-5.615,2.197
-0.031,0.925,-0.22,-5.493,-5.554,3.967
-0.024,0.92,-0.215,-5.127,-5.737,4.028
-0.016,0.915,-0.207,-4.578,-5.737,2.991
-0.01,0.911,-0.2,-3.235,-5.676,1.282
-0.008,0.911,-0.197,-1.526,-5.371,-0.549
-0.005,0.909,-0.2,-0.061,-4.761,-1.587
0,0.91,-0.203,1.221,-3.845,-1.526
0.001,0.911,-0.207,2.075,-2.808,-0.427
0,0.915,-0.213,2.93,-1.831,1.404
0.001,0.921,-0.219,3.418,-0.366,3.845
0.001,0.931,-0.226,3.784,0.977,5.493
0,0.946,-0.234,4.089,1.892,6.287
-0.002,0.957,-0.24,4.333,2.258,6.775
-0.003,0.967,-0.246,4.211,2.136,6.775
-0.004,0.977,-0.251,3.723,1.831,6.042
-0.002,0.984,-0.256,3.235,0.671,5.066
0.001,0.988,-0.258,2.625,-0.305,3.601
-0.001,0.99,-0.254,2.258,-0.732,1.587
-0.001,0.987,-0.253,1.648,-0.488,0
0,0.982,-0.252,0.977,-0.305,-0.916
0.001,0.98,-0.249,0.732,0.305,-0.793
0,0.976,-0.252,0.488,1.221,-0.244
0,0.974,-0.252,0,2.014,0.61
0.19,-2.2,0.648,-123.657,-97.839,-236.328
0.213,-2.378,0.605,-93.628,-83.923,-204.163
0.275,-2.417,0.507,-53.894,-55.542,-140.076
0.334,-2.256,0.382,-5.737,-15.686,-56.213
0.351,-1.926,0.264,46.204,29.602,23.804
0.322,-1.553,0.105,93.262,75.378,83.618
0.255,-1.196,-0.064,128.418,113.77,121.338
0.172,-0.901,-0.22,151.001,140.869,142.395
0.12,-0.663,-0.365,157.959,155.09,152.893
0.094,-0.5,-0.49,154.663,155.762,152.71
0.093,-0.408,-0.578,146.667,145.386,138.489
0.097,-0.377,-0.614,137.634,126.709,111.023
0.094,-0.408,-0.613,131.165,103.699,75.745
0.097,-0.471,-0.598,129.456,82.031,37.598
0.083,-0.52,-0.577,133.423,61.768,4.822
0.064,-0.55,-0.553,140.503,44.189,-14.526
0.067,-0.556,-0.537,148.193,31.799,-19.287
0.077,-0.534,-0.509,155.579,24.719,-11.963
0.094,-0.494,-0.491,163.025,23.01,2.808
0.117,-0.433,-0.488,170.105,26.184,20.996
0.123,-0.349,-0.497,177.124,31.677,37.598
0.115,-0.255,-0.513,183.105,36.438,49.194
0.108,-0.172,-0.521,185.974,37.231,55.298
0.107,-0.096,-0.521,186.035,33.325,55.237
0.102,-0.037,-0.532,185.913,27.283,51.575
0.102,0.01,-0.531,185.242,21.118,48.828
0.116,0.056,-0.505,185.303,16.907,49.561
0.131,0.1,-0.482,187.012,16.235,52.551
0.15,0.165,-0.456,190.125,20.264,56.946
0.14,0.249,-0.457,195.129,29.541,63.965
0.125,0.347,-0.48,201.721,43.762,74.28
0.111,0.478,-0.508,207.153,58.105,85.266
0.065,0.635,-0.553,211.121,68.542,92.041
0.024,0.775,-0.618,213.501,75.989,94.727
0.008,0.879,-0.673,210.327,78.125,92.346
-0.006,0.958,-0.708,202.209,73.547,81.909
-0.029,0.987,-0.733,193.176,64.758,65.247
-0.026,0.972,-0.748,183.289,54.321,48.34
-0.015,0.935,-0.737,172.546,42.053,32.227
0.001,0.885,-0.693,164.856,30.396,18.311
0.018,0.855,-0.634,160.339,23.132,9.888
0.014,0.861,-0.587,159.79,21.667,8.545
0.01,0.89,-0.58,162.292,26.611,14.832
0.009,0.944,-0.602,162.781,33.569,25.513
-0.002,1.028,-0.623,160.4,39.307,35.522
-0.017,1.103,-0.66,155.09,44.312,43.457
-0.022,1.132,-0.703,143.494,47.119,48.767
-0.022,1.11,-0.725,128.052,45.227,48.218
-0.022,1.048,-0.719,115.234,38.147,39.307
-0.015,0.986,-0.688,107.666,27.893,25.391
-0.012,0.945,-0.629,106.018,16.357,10.01
-0.009,0.92,-0.571,109.436,7.507,-0.854
0.005,0.917,-0.528,113.892,3.906,-4.272
0.013,0.944,-0.501,118.713,5.432,-1.648
0.007,0.986,-0.501,125.061,12.573,6.47
0.02,1.036,-0.549,129.944,23.315,16.724
0.021,1.11,-0.568,128.418,27.771,24.963
0.01,1.156,-0.591,119.019,25.208,33.264
0.018,1.168,-0.601,107.117,25.513,32.349
0.017,1.146,-0.576,97.473,22.766,24.719
0.012,1.103,-0.552,90.454,16.846,14.465
0.014,1.065,-0.512,87.952,11.23,2.136
0.011,1.06,-0.447,91.37,5.859,-9.521
0.009,1.08,-0.415,98.145,3.601,-16.418
0.012,1.112,-0.424,102.051,7.08,-15.747
0.006,1.157,-0.448,101.868,14.404,-9.888
-0.007,1.215,-0.474,98.999,22.339,-0.122
-0.033,1.267,-0.505,92.773,30.273,10.986
-0.054,1.292,-0.537,82.336,36.377,22.461
-0.067,1.286,-0.563,70.129,39.795,29.236
-0.082,1.259,-0.568,59.143,38.025,29.846
-0.097,1.216,-0.568,51.819,33.569,24.536
-0.105,1.171,-0.549,48.767,27.527,14.465
-0.119,1.137,-0.531,48.828,19.348,3.662
-0.127,1.116,-0.511,50.354,12.939,-4.761
-0.13,1.109,-0.489,50.659,8.24,-8.362
-0.133,1.111,-0.47,49.316,6.042,-7.202
-0.137,1.12,-0.459,47.18,6.409,-2.625
-0.143,1.133,-0.456,44.006,8.118,4.639
-0.146,1.142,-0.458,39.001,10.437,13
-0.145,1.146,-0.46,33.63,11.536,19.775
-0.142,1.143,-0.457,28.748,11.353,23.132
-0.142,1.134,-0.451,24.597,9.583,23.071
-0.142,1.124,-0.438,22.278,7.08,19.592
-0.144,1.113,-0.429,21.851,3.54,14.099
-0.141,1.104,-0.417,22.217,-0.061,8.362
-0.134,1.091,-0.405,22.461,-3.235,3.052
-0.125,1.078,-0.396,22.095,-5.981,-0.427
-0.12,1.066,-0.381,20.752,-7.996,-1.77
-0.115,1.055,-0.366,18.555,-8.972,-1.221
-0.107,1.042,-0.358,15.625,-8.911,1.16
-0.099,1.028,-0.345,12.39,-8.728,4.15
-0.092,1.015,-0.334,9.583,-8.545,6.287
-0.084,1.003,-0.326,7.751,-8.179,6.531
-0.079,0.99,-0.318,6.409,-8.179,5.249
-0.075,0.978,-0.308,5.798,-8.789,3.296
-0.072,0.966,-0.3,5.737,-9.155,1.526
-0.063,0.956,-0.29,5.798,-9.644,-0.183
-0.057,0.946,-0.283,5.859,-10.193,-0.732
-0.05,0.94,-0.273,5.798,-10.315,-1.038
-0.043,0.937,-0.264,5.737,-10.01,-1.099
-0.038,0.936,-0.26,5.737,-9.949,-1.16
-0.031,0.934,-0.255,5.676,-9.827,-1.587
-0.024,0.931,-0.251,5.676,-9.583,-1.953
-0.02,0.93,-0.248,5.31,-8.85,-2.319
-0.015,0.928,-0.246,5.188,-7.751,-2.319
-0.013,0.927,-0.246,5.066,-5.859,-1.831
-0.011,0.929,-0.249,4.639,-4.028,-0.732
-0.009,0.931,-0.25,4.211,-2.441,1.221
-0.008,0.938,-0.255,3.601,-1.526,3.052
-0.009,0.943,-0.258,2.991,-1.282,3.967
-0.01,0.944,-0.256,2.808,-1.343,3.784
-0.01,0.946,-0.252,2.747,-1.16,2.991
-0.011,0.949,-0.253,2.686,-0.732,1.709
-0.014,0.952,-0.258,3.052,0.244,0.916
-0.015,0.954,-0.265,2.869,0.977,0.488
-0.017,0.958,-0.268,3.113,1.404,0.488
-0.018,0.962,-0.271,3.479,1.892,0.854
-0.019,0.965,-0.276,3.54,2.625,1.282
0.224,-2.723,0.558,-83.74,-26.672,-202.148
0.133,-3.047,0.54,-29.358,-21.667,-231.445
0.192,-3.114,0.367,11.963,-16.357,-203.125
0.263,-2.87,0.143,39.795,-13.489,-129.028
0.287,-2.361,0.015,74.768,-7.141,-24.414
0.287,-1.738,-0.057,106.75,5.981,81.97
0.282,-1.089,-0.179,121.399,23.743,161.743
0.265,-0.564,-0.342,120.972,42.236,203.552
0.272,-0.168,-0.537,119.873,60.12,212.28
0.269,0.12,-0.736,124.084,71.838,192.627
0.257,0.284,-0.892,128.174,71.838,152.954
0.234,0.337,-0.986,124.695,62.988,107.422
0.251,0.275,-1.03,113.77,47.791,67.688
0.269,0.162,-1.014,99.121,33.02,39.673
0.288,0.017,-0.953,86.67,26.855,24.658
0.291,-0.118,-0.873,76.599,29.358,22.705
0.289,-0.214,-0.809,67.871,33.203,31.372
0.284,-0.283,-0.753,64.026,36.56,43.457
0.277,-0.312,-0.7,66.589,40.1,53.772
0.276,-0.308,-0.671,75.745,37.842,59.265
0.292,-0.29,-0.665,88.44,37.598,60.913
0.299,-0.268,-0.654,104.004,40.283,55.237
0.291,-0.242,-0.65,118.042,40.344,44.312
0.281,-0.215,-0.654,126.892,38.33,33.569
0.257,-0.21,-0.643,130.493,35.706,27.344
0.239,-0.216,-0.62,132.324,32.837,24.963
0.211,-0.211,-0.589,134.583,28.87,24.719
0.186,-0.184,-0.553,139.343,23.193,26.306
0.161,-0.118,-0.515,146.973,16.724,31.006
0.146,-0.042,-0.493,155.396,11.658,41.26
0.166,0.024,-0.475,161.56,10.01,56.641
0.175,0.094,-0.45,166.687,12.085,70.129
0.181,0.175,-0.413,173.218,17.334,78.247
0.162,0.264,-0.408,182.007,24.353,79.834
0.142,0.353,-0.428,190.063,29.907,76.599
0.126,0.446,-0.439,195.007,31.25,67.383
0.095,0.52,-0.442,199.158,29.114,52.307
0.084,0.576,-0.44,200.012,23.804,38.086
0.062,0.61,-0.432,196.594,16.663,26.733
0.049,0.617,-0.422,190.613,10.01,19.836
0.034,0.639,-0.367,183.96,3.296,17.944
-0.002,0.68,-0.306,181.946,-1.709,22.339
-0.02,0.725,-0.286,182.19,-2.014,36.255
-0.015,0.768,-0.269,177.734,0.061,58.228
-0.027,0.803,-0.251,173.889,3.845,80.078
-0.02,0.831,-0.251,175.476,8.728,93.75
-0.014,0.866,-0.262,181.335,11.597,93.872
-0.001,0.91,-0.278,190.369,9.216,76.477
0.008,0.964,-0.274,201.721,1.038,43.945
-0.018,1.026,-0.245,211.365,-10.559,7.446
-0.036,1.108,-0.211,215.332,-20.691,-18.372
-0.081,1.207,-0.164,212.524,-26.001,-26.245
-0.108,1.299,-0.155,207.031,-28.015,-11.047
-0.099,1.399,-0.177,197.815,-26.611,17.029
-0.092,1.494,-0.191,187.561,-24.475,45.532
-0.064,1.57,-0.23,178.65,-23.804,68.848
-0.011,1.62,-0.284,168.274,-25.757,81.787
0.044,1.644,-0.329,157.898,-30.212,79.102
0.094,1.643,-0.35,150.818,-37.292,59.57
0.125,1.624,-0.35,144.47,-46.143,28.503
0.146,1.584,-0.325,136.78,-54.138,-4.456
0.162,1.531,-0.278,128.357,-58.899,-30.823
0.158,1.469,-0.242,119.873,-55.42,-47.791
0.177,1.417,-0.194,109.802,-50.964,-53.284
0.16,1.397,-0.127,100.708,-50.049,-48.645
0.159,1.402,-0.084,97.595,-45.959,-38.574
0.184,1.414,-0.081,98.267,-39.673,-25.635
0.219,1.425,-0.105,98.022,-34.729,-13.733
0.258,1.433,-0.133,97.229,-33.325,-6.775
0.286,1.435,-0.152,96.497,-34.607,-6.897
0.309,1.424,-0.153,91.37,-36.682,-11.841
0.322,1.399,-0.137,83.496,-38.391,-18.738
0.331,1.36,-0.118,73.669,-38.574,-24.109
0.333,1.313,-0.095,62.988,-36.926,-26.184
0.328,1.263,-0.063,52.979,-33.813,-25.513
0.321,1.211,-0.027,43.762,-29.114,-22.4
0.317,1.157,0.004,36.194,-23.56,-17.456
0.314,1.117,0.04,31.372,-18.127,-13.062
0.311,1.09,0.071,30.457,-13.306,-11.292
0.307,1.08,0.078,32.532,-9.583,-12.207
0.306,1.082,0.068,35.278,-7.629,-15.503
0.302,1.085,0.057,38.513,-7.08,-20.325
0.293,1.09,0.048,40.344,-7.202,-24.841
0.288,1.086,0.037,39.429,-7.446,-28.442
0.282,1.076,0.03,36.56,-7.874,-31.25
0.273,1.059,0.035,33.264,-8.423,-32.837
0.265,1.038,0.041,29.663,-8.179,-33.997
0.258,1.02,0.044,26.245,-7.812,-34.912
0.251,1.002,0.046,23.437,-7.751,-35.461
0.247,0.982,0.055,20.935,-7.751,-33.997
0.246,0.965,0.066,18.494,-6.592,-30.64
0.249,0.949,0.075,16.479,-4.883,-25.818
0.252,0.94,0.076,14.832,-3.113,-20.264
0.255,0.934,0.073,14.099,-1.709,-15.625
0.251,0.935,0.072,13.55,0.122,-11.292
0.249,0.935,0.067,12.329,1.526,-6.775
0.248,0.933,0.063,10.376,2.38,-2.563
0.249,0.93,0.061,8.362,2.93,1.038
0.249,0.926,0.063,6.775,3.113,3.784
0.25,0.924,0.064,6.653,3.174,4.456
0.249,0.922,0.063,7.629,2.625,3.235
0.249,0.921,0.065,8.484,1.343,1.099
0.248,0.919,0.07,9.46,0.061,-1.343
0.251,0.918,0.075,10.254,-0.977,-3.296
0.252,0.917,0.081,11.047,-1.526,-4.333
0.251,0.92,0.085,11.963,-1.465,-4.089
0.252,0.924,0.086,12.146,-0.854,-2.93
0.251,0.929,0.084,11.658,-0.244,-1.404
0.252,0.932,0.083,11.108,-0.244,0.366
0.258,0.934,0.085,10.498,-0.61,1.282
0.263,0.933,0.083,10.437,-1.526,0.549
0.266,0.934,0.083,10.803,-2.075,-1.282
0.268,0.932,0.087,10.742,-2.563,-2.319
0.27,0.925,0.094,10.498,-3.052,-2.808
0.271,0.92,0.102,9.705,-3.418,-2.869
0.275,0.918,0.108,9.338,-3.967,-2.991
0.279,0.919,0.112,9.46,-4.822,-3.174
0.284,0.926,0.122,10.437,-5.493,-3.418
0.289,0.937,0.13,11.658,-6.165,-3.967
0.73,1.528,0.343,-69.275,48.34,-92.59
0.755,1.539,0.367,-76.538,54.26,-94.055
0.757,1.524,0.353,-83.252,62.195,-94.849
0.746,1.495,0.304,-92.285,70.007,-96.863
0.713,1.48,0.294,-102.661,75.623,-101.44
0.671,1.46,0.32,-111.084,78.43,-105.347
0.688,1.446,0.414,-120.911,80.444,-103.821
0.718,1.427,0.521,-127.258,86.975,-100.22
0.725,1.391,0.499,-128.54,100.159,-98.45
0.703,1.375,0.456,-131.714,113.831,-103.027
0.626,1.373,0.431,-130.92,123.84,-115.356
0.579,1.35,0.37,-131.226,127.563,-129.578
0.564,1.364,0.448,-139.404,125.671,-142.09
0.551,1.321,0.507,-144.348,125.671,-147.949
0.543,1.243,0.435,-155.457,131.287,-145.691
0.493,1.158,0.386,-173.279,140.991,-144.775
0.416,1.044,0.351,-186.096,151.489,-149.719
0.328,0.943,0.315,-194.885,158.264,-160.767
0.286,0.833,0.388,-200.439,159.79,-174.561
0.275,0.707,0.442,-199.524,161.682,-186.218
0.249,0.631,0.456,-195.679,167.969,-195.557
0.208,0.576,0.479,-184.021,173.462,-202.332
0.181,0.501,0.391,-168.335,175.537,-202.087
0.157,0.438,0.263,-163.269,173.95,-199.097
0.14,0.4,0.189,-164.246,171.204,-197.998
0.11,0.323,0.154,-167.419,167.603,-193.481
0.087,0.213,0.108,-177.551,165.588,-180.481
0.063,0.092,0.094,-191.284,167.358,-166.931
0.021,-0.065,0.069,-197.754,169.983,-158.875
-0.053,-0.256,0.048,-196.899,171.57,-159.79
-0.157,-0.508,-0.023,-186.89,170.41,-172.485
-0.312,-0.854,-0.109,-167.603,164.49,-200.073
-0.555,-1.299,-0.233,-137.39,156.128,-239.624
-0.939,-1.835,-0.349,-103.21,146.301,-285.4
-1.517,-2.415,-0.516,-67.871,135.01,-329.346
-2.136,-2.893,-0.741,-29.602,132.141,-355.042
-2.465,-3.011,-0.96,13.062,131.958,-338.013
-2.436,-2.819,-1.112,67.383,115.417,-260.559
-2.098,-2.346,-1.152,111.633,69.824,-132.751
-1.567,-1.705,-1.073,140.32,8.362,16.541
-1.017,-1.042,-0.944,147.217,-42.542,156.311
-0.564,-0.473,-0.814,135.742,-72.571,261.841
-0.251,-0.059,-0.728,119.812,-85.266,329.163
-0.021,0.223,-0.713,105.225,-91.003,360.413
0.138,0.418,-0.762,93.506,-94.421,358.826
0.248,0.546,-0.826,86.365,-92.834,330.627
0.331,0.607,-0.854,85.632,-86.304,281.677
0.369,0.629,-0.859,90.21,-76.599,218.506
0.39,0.613,-0.89,96.924,-65.063,145.996
0.393,0.556,-0.934,99.609,-54.993,71.228
0.361,0.466,-0.935,97.168,-48.889,2.441
0.299,0.361,-0.904,91.37,-47.607,-51.697
