aX,aY,aZ,gX,gY,gZ
-0.116,-0.329,-0.778,11.292,-45.41,-11.963
0.284,-0.474,-1.718,224.487,-3.784,-30.518
0.281,-0.424,-1.734,244.324,-0.61,-33.081
0.265,-0.372,-1.756,261.292,1.77,-35.645
0.25,-0.323,-1.731,277.405,2.441,-39.795
0.235,-0.277,-1.723,299.011,1.587,-46.875
0.209,-0.226,-1.699,319.275,-0.305,-54.81
0.217,-0.167,-1.684,336.853,-5.798,-60.669
0.214,-0.101,-1.6,346.802,-14.648,-64.941
0.222,-0.046,-1.537,346.008,-23.254,-67.688
0.227,-0.013,-1.454,346.802,-29.419,-69.031
0.231,0.016,-1.398,352.356,-33.63,-68.726
0.238,0.08,-1.321,349.67,-37.903,-67.749
0.219,0.115,-1.239,346.497,-38.818,-66.467
0.216,0.157,-1.139,342.529,-40.283,-63.538
0.221,0.184,-1.065,340.515,-39.368,-61.89
0.214,0.198,-1.03,338.562,-35.95,-60.913
0.196,0.192,-0.965,333.984,-32.715,-58.594
0.186,0.184,-0.928,334.717,-31.555,-56.213
0.15,0.202,-0.853,333.862,-32.41,-54.626
0.137,0.21,-0.751,329.529,-34.302,-53.04
0.125,0.202,-0.629,322.205,-37.109,-51.941
0.127,0.198,-0.501,312.256,-43.579,-52.124
0.136,0.182,-0.395,300.049,-52.551,-51.636
0.156,0.168,-0.277,287.292,-61.89,-50.415
0.196,0.178,-0.172,271.973,-70.74,-48.279
0.227,0.169,-0.059,254.822,-79.712,-43.579
0.258,0.161,0.027,240.417,-88.074,-35.217
0.281,0.185,0.055,232.483,-92.896,-25.574
0.305,0.193,0.094,225.525,-90.82,-19.958
0.324,0.172,0.149,216.98,-82.397,-18.433
0.354,0.157,0.238,208.435,-73.181,-18.066
0.366,0.148,0.337,200.806,-66.223,-18.25
0.388,0.165,0.472,190.186,-59.875,-16.357
0.429,0.178,0.604,176.208,-53.467,-14.038
0.464,0.189,0.732,159.912,-50.415,-12.329
0.495,0.225,0.855,140.381,-53.467,-8.423
0.51,0.273,0.967,118.896,-60.242,-2.258
0.521,0.293,1.066,96.741,-65.063,3.906
0.528,0.308,1.142,77.271,-62.988,8.423
0.534,0.325,1.197,59.265,-54.688,10.498
0.532,0.339,1.236,41.382,-43.213,12.207
0.526,0.353,1.255,24.658,-32.288,15.32
0.522,0.375,1.254,8.85,-24.353,19.348
0.518,0.419,1.245,-7.812,-18.677,23.865
0.5,0.48,1.214,-27.405,-13.123,27.71
0.466,0.523,1.175,-49.5,-6.897,33.203
0.433,0.557,1.117,-71.594,-1.709,38.574
0.395,0.585,1.034,-91.431,1.892,42.053
0.36,0.598,0.953,-110.962,4.639,43.823
0.32,0.595,0.876,-129.272,6.409,44.25
0.303,0.579,0.781,-140.32,7.69,46.448
0.233,0.541,0.655,-148.804,9.705,48.828
0.241,0.555,0.607,-155.273,5.432,50.842
0.195,0.547,0.543,-154.968,5.554,46.997
0.176,0.557,0.501,-163.574,11.841,43.091
0.177,0.547,0.483,-170.776,14.282,39.978
0.169,0.557,0.447,-173.584,14.587,34.119
0.172,0.559,0.402,-180.725,18.25,29.358
0.179,0.548,0.344,-190.857,22.4,27.161
0.177,0.53,0.291,-200.134,26.062,27.039
0.17,0.508,0.238,-208.679,31.982,26.917
0.145,0.472,0.194,-216.797,39.978,26.733
0.131,0.44,0.147,-222.595,48.828,26.978
0.12,0.426,0.081,-224.915,57.861,26.001
0.115,0.414,0.01,-228.027,68.726,22.4
0.119,0.389,-0.053,-233.276,81.848,16.052
0.126,0.353,-0.144,-238.525,97.473,10.193
0.127,0.286,-0.244,-245.544,112.793,9.338
0.092,0.2,-0.373,-250.549,124.268,14.343
0.055,0.136,-0.477,-255.493,128.54,24.658
0.037,0.102,-0.634,-254.517,123.779,36.621
0.005,0.112,-0.77,-252.991,112.976,50.11
-0.036,0.156,-0.839,-254.395,97.412,60.669
-0.034,0.142,-0.916,-252.625,82.886,59.387
-0.057,0.135,-0.982,-252.014,74.463,50.415
-0.048,0.114,-1.054,-251.404,65.002,43.152
-0.031,0.085,-1.075,-248.718,56.824,36.011
-0.025,0.053,-1.104,-242.493,51.208,29.175
-0.022,0.025,-1.136,-235.046,48.645,23.437
-0.025,-0.001,-1.173,-226.196,48.34,19.836
-0.001,0,-1.226,-213.196,49.316,19.409
0.014,0.023,-1.256,-202.271,47.852,21.484
0.013,0.026,-1.264,-195.923,45.227,22.522
0.001,0.028,-1.287,-187.988,41.687,23.315
0.002,0.033,-1.311,-181.885,36.499,24.963
0.008,0.04,-1.326,-180.481,31.189,22.461
0.008,0.041,-1.324,-182.556,25.085,17.273
0.022,0.011,-1.338,-183.35,18.005,16.907
0.037,-0.037,-1.401,-181.335,14.465,21.118
0.045,-0.049,-1.467,-181.213,15.076,25.269
0.052,-0.058,-1.53,-181.946,15.808,28.076
0.045,-0.076,-1.582,-179.687,15.991,30.64
0.045,-0.076,-1.623,-175.232,13.672,32.043
0.042,-0.074,-1.631,-171.387,8.484,31.311
0.04,-0.088,-1.611,-167.908,2.258,28.687
0.044,-0.11,-1.583,-163.208,-2.808,26.123
0.053,-0.129,-1.545,-158.386,-7.812,23.682
0.076,-0.183,-1.504,-154.785,-12.939,23.804
0.06,-0.286,-1.42,-145.325,-17.517,24.841
0.122,-0.198,-1.452,-126.526,-23.193,23.01
0.109,-0.281,-1.363,-122.437,-21.057,27.222
0.115,-0.29,-1.342,-104.004,-19.653,24.17
0.127,-0.305,-1.298,-86.243,-18.677,17.578
0.129,-0.319,-1.248,-71.777,-16.663,10.925
0.126,-0.315,-1.252,-59.204,-12.939,5.676
0.133,-0.322,-1.237,-53.772,-8.057,2.991
0.133,-0.352,-1.237,-52.185,-4.578,2.93
0.128,-0.359,-1.239,-49.5,-2.441,3.052
0.128,-0.367,-1.247,-46.692,-1.587,2.319
0.135,-0.377,-1.265,-44.25,-1.526,2.258
0.133,-0.379,-1.249,-43.701,-1.404,3.601
0.137,-0.384,-1.251,-43.335,-4.456,5.798
0.13,-0.369,-1.216,-43.213,-6.287,6.104
0.138,-0.367,-1.183,-41.504,-7.568,5.127
0.132,-0.386,-1.148,-36.56,-7.324,2.441
0.126,-0.394,-1.125,-26.184,-5.554,-0.244
0.127,-0.387,-1.107,-16.052,-2.869,-2.197
0.136,-0.376,-1.08,-8.789,-2.075,-4.639
0.141,-0.371,-1.063,-3.784,-3.296,-6.775
0.135,0.335,-2.102,399.658,5.859,-29.724
0.113,0.378,-1.99,425.049,6.714,-47.546
0.117,0.425,-1.802,436.34,4.028,-64.148
0.113,0.463,-1.623,432.556,-3.906,-74.951
0.087,0.502,-1.454,425.11,-16.113,-78.735
0.1,0.529,-1.337,421.265,-24.475,-83.374
0.11,0.529,-1.318,414.795,-25.208,-90.637
0.095,0.436,-1.271,410.217,-24.109,-94.36
0.084,0.408,-1.23,409.424,-24.292,-96.252
0.053,0.384,-1.155,414.49,-24.353,-99.731
0.018,0.283,-1.015,411.316,-25.757,-105.53
0.031,0.207,-0.854,407.593,-28.809,-111.511
0.017,0.154,-0.762,403.137,-29.358,-113.037
0.009,0.042,-0.632,391.907,-28.748,-112.976
0.022,-0.039,-0.493,381.897,-35.4,-113.586
0.038,-0.078,-0.371,367.554,-50.781,-111.572
0.054,-0.176,-0.245,351.196,-65.247,-110.046
0.102,-0.277,-0.113,335.571,-74.341,-109.985
0.122,-0.389,0.031,319.153,-82.275,-105.957
0.163,-0.51,0.199,306.213,-89.417,-101.257
0.211,-0.637,0.396,294.25,-91.797,-98.022
0.225,-0.791,0.626,280.823,-90.82,-93.445
0.239,-0.952,0.955,262.024,-90.698,-87.952
0.229,-1.094,1.364,233.215,-94.849,-81.482
0.132,-1.267,1.867,191.833,-100.891,-72.876
-0.011,-1.431,2.4,140.991,-100.281,-63.782
-0.101,-1.447,2.917,83.069,-88.928,-56.396
-0.125,-1.334,3.253,24.414,-71.533,-51.147
-0.041,-1.034,3.365,-26.611,-52.795,-39.429
0.095,-0.727,3.045,-69.031,-31.799,-20.264
