aX,aY,aZ,gX,gY,gZ
0.245,0.314,-0.959,-21.301,-6.958,-20.02
0.235,0.271,-0.945,-19.47,-9.399,-20.081
0.152,-1.209,-1.246,183.594,-30.273,114.014
0.144,-1.262,-1.154,181.335,-39.856,119.69
0.144,-1.33,-0.993,177.49,-40.771,125.305
0.117,-1.393,-0.757,171.814,-34.79,127.014
0.074,-1.283,-0.448,160.156,-22.766,120.239
-0.002,-1.119,-0.087,138.733,-5.676,111.633
-0.201,-0.842,0.447,111.877,22.4,98.389
-0.531,-0.384,1.075,86.182,49.805,77.82
-0.969,0.349,1.712,72.388,65.43,60.181
-1.538,1.222,2.271,82.214,72.144,48.157
-2.134,2.158,2.586,112.061,64.636,48.584
-2.643,3.093,2.616,135.742,53.345,79.346
-3.071,3.993,2.419,148.804,66.895,139.221
-3.047,4,1.723,167.786,115.295,234.253
-2.359,4,0.44,211.792,191.833,357.91
-0.773,4,-1.107,259.216,249.329,468.933
1.048,4,-2.443,269.958,221.313,508.728
3.343,4,-3.753,232.239,123.108,441.406
4,3.864,-3.849,105.896,-7.385,232.788
3.077,3.597,-2.15,-100.586,-139.221,-99.915
1.117,3.243,0.048,-248.718,-239.685,-404.358
-0.948,2.472,1.49,-232.3,-328.735,-593.994
-2.059,1.361,1.726,-93.75,-365.54,-648.987
-2.182,0.534,1.089,16.541,-273.865,-529.358
-2.129,0.369,0.496,-10.803,-77.576,-302.612
-1.554,0.614,0.206,-112.549,127.319,-75.684
-0.964,0.959,0.214,-200.439,252.319,80.872
-0.477,1.298,0.337,-229.675,261.841,139.343
-0.224,1.429,0.392,-200.623,182.556,121.46
-0.185,1.362,0.339,-143.738,76.538,62.378
-0.2,1.256,0.21,-99.365,-11.597,-5.615
-0.177,1.124,0.023,-81.604,-60.303,-61.462
-0.246,0.92,-0.115,-85.51,-68.481,-98.999
-0.349,0.731,-0.156,-99.304,-57.617,-119.751
-0.369,0.612,-0.132,-114.99,-48.096,-118.896
-0.284,0.527,-0.134,-124.084,-39.49,-97.534
-0.16,0.478,-0.17,-127.502,-26.428,-68.665
-0.062,0.483,-0.209,-126.587,-11.414,-45.776
-0.021,0.502,-0.26,-121.338,-0.549,-31.555
0.018,0.53,-0.307,-109.009,1.892,-26.062
0.137,0.547,-0.381,-96.13,-1.648,-25.696
0.239,0.563,-0.485,-84.167,-3.54,-30.457
0.283,0.524,-0.6,-80.994,-0.793,-42.664
0.299,0.45,-0.706,-82.52,2.747,-58.655
0.281,0.38,-0.755,-87.891,1.77,-72.388
0.238,0.312,-0.739,-91.248,-4.639,-80.505
0.192,0.224,-0.727,-89.783,-15.015,-83.557
0.161,0.193,-0.656,-84.717,-24.048,-84.595
0.144,0.137,-0.605,-73.73,-27.283,-86.853
0.1,0.079,-0.592,-59.937,-26.978,-84.656
0.042,-0.002,-0.632,-43.091,-24.78,-81.421
-0.015,-0.084,-0.68,-25.146,-23.804,-76.782
-0.007,-0.116,-0.752,-9.827,-25.696,-67.2
0.011,-0.102,-0.834,1.038,-26.794,-54.749
0.012,-0.103,-0.984,11.963,-28.015,-43.64
0.021,-0.088,-1.042,23.682,-24.536,-32.043
0.013,-0.109,-1.059,39.063,-22.644,-23.865
0.038,-0.137,-1.148,45.227,-3.967,-19.348
0.109,-0.092,-1.167,42.969,4.333,-14.038
0.15,-0.044,-1.163,38.33,6.287,-5.432
0.21,-0.013,-1.135,38.94,-0.183,1.465
0.239,-0.016,-1.13,38.635,-7.568,0.732
0.216,-0.048,-1.131,40.527,-14.832,-5.92
0.217,-0.047,-1.109,41.443,-25.208,-8.484
0.226,0.006,-1.088,43.64,-34.18,-1.709
0.278,0.065,-1.082,46.997,-34.912,10.254
0.353,0.148,-1.098,47.668,-24.414,22.156
0.406,0.269,-1.156,43.274,-4.822,31.25
0.406,0.348,-1.225,39.429,18.127,33.386
0.388,0.411,-1.278,39.063,35.4,30.273
0.376,0.423,-1.354,42.419,41.931,25.085
0.342,0.451,-1.413,47.485,37.415,17.456
0.296,0.461,-1.439,49.622,25.757,7.08
0.267,0.459,-1.423,49.622,12.085,-1.953
0.256,0.448,-1.397,47.363,1.831,-5.432
0.257,0.439,-1.359,40.222,-1.465,-4.272
0.267,0.435,-1.308,28.809,2.136,-1.16
0.284,0.431,-1.251,16.113,10.559,4.333
0.308,0.436,-1.202,5.493,19.348,11.047
0.326,0.465,-1.169,-1.465,25.818,16.357
0.341,0.496,-1.154,-3.967,28.748,18.066
0.345,0.51,-1.166,-2.808,28.076,15.015
0.334,0.503,-1.183,-0.549,24.109,8.301
0.32,0.486,-1.191,0.488,16.479,1.16
0.31,0.474,-1.186,-1.526,7.874,-3.784
0.298,0.464,-1.159,-5.188,0.549,-7.019
0.292,0.451,-1.124,-10.071,-3.601,-8.423
0.293,0.439,-1.094,-15.93,-4.272,-7.996
0.295,0.427,-1.07,-22.095,-2.563,-6.47
0.293,0.42,-1.044,-27.954,-0.977,-5.249
0.293,0.427,-1.015,-32.471,-1.099,-5.31
0.292,0.44,-0.991,-34.546,-2.38,-6.47
0.287,0.45,-0.963,-34.119,-4.517,-9.155
0.281,0.451,-0.94,-31.921,-6.653,-12.024
0.277,0.449,-0.93,-30.029,-8.057,-13.733
0.274,0.449,-0.93,-28.687,-8.606,-13.611
0.271,0.453,-0.927,-28.87,-8.362,-12.817
0.27,0.46,-0.918,-30.273,-6.958,-11.902
0.276,0.46,-0.911,-31.372,-5.493,-10.925
0.282,0.461,-0.909,-32.959,-4.272,-10.559
0.28,0.456,-0.906,-35.034,-3.174,-11.597
0.28,0.448,-0.894,-36.926,-2.441,-13.306
0.276,0.445,-0.877,-37.781,-2.319,-14.221
0.28,0.443,-0.864,-37.476,-2.625,-14.343
0.292,0.447,-0.861,-36.743,-2.197,-14.771
0.304,0.452,-0.873,-35.828,-0.244,-15.808
0.314,0.451,-0.901,-35.095,3.357,-17.578
0.315,0.445,-0.927,-35.034,6.836,-19.409
0.309,0.43,-0.941,-34.912,8.179,-21.667
0.298,0.399,-0.955,-34.241,7.996,-23.926
0.285,0.368,-0.963,-33.325,6.531,-25.757
0.271,0.331,-0.97,-32.471,4.7,-26.855
0.256,0.294,-0.974,-32.532,3.418,-27.161
0.245,0.253,-0.973,-32.776,3.54,-26.794
0.24,0.198,-0.978,-31.494,4.211,-25.269
0.232,0.138,-0.985,-29.419,4.578,-23.254
0.222,0.074,-1.004,-27.283,4.028,-22.217
0.202,0.005,-1.042,-23.682,2.319,-21.973
0.172,-0.061,-1.077,-21.606,0,-23.254
-0.133,-1.109,-1.568,37.109,-2.502,24.17
-0.184,-1.202,-1.572,55.908,-9.705,42.297
-0.197,-1.264,-1.558,78.308,-21.79,64.331
-0.196,-1.238,-1.507,94.604,-32.288,87.83
-0.165,-1.218,-1.463,108.643,-38.086,111.084
-0.093,-1.183,-1.464,118.103,-38.452,134.949
-0.025,-1.131,-1.472,119.141,-31.433,158.325
-0.013,-1.079,-1.413,115.051,-19.775,174.805
-0.004,-1.054,-1.286,114.502,-14.465,181.396
0.016,-1.061,-1.087,119.08,-22.156,179.565
0.013,-1.057,-0.765,124.695,-41.382,170.349
-0.012,-1.033,-0.329,127.991,-64.087,154.175
-0.075,-0.929,0.226,132.751,-81.238,136.963
-0.228,-0.67,0.865,133.789,-82.153,124.023
-0.55,-0.255,1.599,135.559,-65.308,117.554
-0.981,0.356,2.368,154.541,-42.603,119.873
-1.423,1.074,2.95,205.505,-28.259,136.841
-1.866,1.938,3.233,263.489,-14.16,166.504
-2.299,2.943,3.281,298.523,11.536,207.886
-2.691,3.901,3.097,313.477,51.086,261.536
-2.865,4,2.35,323.853,104.614,332.947
-2.361,4,1.085,329.224,178.894,426.025
-1.429,4,-0.228,301.636,260.681,527.405
0.103,4,-1.74,269.104,283.569,557.739
2.535,4,-3.922,226.685,232.422,501.16
3.738,3.808,-4,114.99,94.971,309.814
3.157,3.806,-2.869,-137.573,-92.468,1.465
1.526,3.681,-0.228,-344.727,-219.177,-302.185
-0.497,3.052,2.073,-391.724,-312.439,-538.94
-1.852,2.015,2.791,-248.474,-378.174,-691.406
-2.218,0.859,2.142,-49.561,-342.896,-675.415
-2.197,0.454,1.172,4.578,-190.674,-500.977
